ID,State,County,Rainfall Type,1-Yr,2-YR,5-YR,10-YR,25-YR,50-YR,100-YR,200-YR,500-YR,1000-YR
6664,AK,"Hoonah-Angoon, Gustavus AK_IA",IA,2.08,2.44,2.94,3.33,3.86,4.27,4.7,5.16,5.76,6.22
6665,AK,"Hoonah-Angoon, Hoonah AK_IA",IA,2.16,2.54,3.06,3.48,4.05,4.51,4.98,5.5,6.18,6.7
6666,AK,"Hoonah-Angoon, Moose Valley AK_IA",IA,1.84,2.29,2.91,3.41,4.1,4.66,5.23,5.88,6.73,7.37
6667,AK,"Hoonah-Angoon, Pelican AK_IA",IA,4.91,5.86,7.2,8.28,9.82,11.07,12.38,13.89,15.89,17.4
6668,AK,"Juneau, Annex Creek AK_IA",IA,3.52,4.14,4.97,5.62,6.49,7.16,7.85,8.57,9.52,10.24
6669,AK,"Juneau, Auke Bay AK_IA",IA,2.16,2.54,3.06,3.47,4.05,4.51,4.99,5.52,6.23,6.76
6670,AK,"Juneau, Canyon Island AK_IA",IA,2.69,3.16,3.82,4.34,5.05,5.61,6.18,6.81,7.64,8.27
6671,AK,"Juneau, Juneau Dwtn AK_IA",IA,2.96,3.49,4.21,4.76,5.52,6.11,6.71,7.36,8.2,8.85
6672,AK,"Juneau, Juneau Forecast Office AK_IA",IA,2.71,3.16,3.84,4.43,5.32,6.09,6.95,8.08,9.56,10.69
6673,AK,"Juneau, Juneau Intl AP AK_IA",IA,2.05,2.4,2.9,3.31,3.91,4.41,4.93,5.57,6.4,7.03
6674,AK,"Juneau, Snettisham Pwr Plt AK_IA",IA,4.98,5.84,7.01,7.92,9.14,10.08,11.04,12.05,13.38,14.39
6675,AK,"Kenai Peninsula, Beluga AK_IA",IA,1.63,2.01,2.56,3.02,3.67,4.21,4.79,5.48,6.39,7.08
6676,AK,"Kenai Peninsula, Big River Lakes AK_IA",IA,2.58,3.18,3.96,4.53,5.28,5.83,6.37,6.9,7.6,8.13
6677,AK,"Kenai Peninsula, Cooper Lake AK_IA",IA,2.25,2.91,3.85,4.61,5.71,6.6,7.55,8.65,10.11,11.21
6678,AK,"Kenai Peninsula, Cooper Lake Project AK_IA",IA,1.98,2.55,3.37,4.04,4.99,5.78,6.61,7.58,8.86,9.83
6679,AK,"Kenai Peninsula, Cooper Landing Kenai R AK_IA",IA,1.49,1.92,2.54,3.05,3.79,4.41,5.06,5.85,6.88,7.66
6680,AK,"Kenai Peninsula, Funny River AK_IA",IA,1.02,1.24,1.56,1.81,2.17,2.45,2.74,3.07,3.51,3.84
6681,AK,"Kenai Peninsula, Grandview AK_IA",IA,3.18,4,5.16,6.1,7.44,8.54,9.7,11.04,12.82,14.16
6682,AK,"Kenai Peninsula, Grouse Creek Divide AK_IA",IA,2.59,3.26,4.26,5.12,6.4,7.49,8.7,10.25,12.29,13.83
6683,AK,"Kenai Peninsula, Halibut Cove AK_IA",IA,2.04,2.48,3.12,3.65,4.39,5,5.65,6.41,7.41,8.17
6684,AK,"Kenai Peninsula, Homer 8 NW AK_IA",IA,1.4,1.71,2.16,2.52,3.05,3.48,3.94,4.48,5.19,5.73
6685,AK,"Kenai Peninsula, Homer 9 E AK_IA",IA,1.26,1.54,1.95,2.28,2.77,3.16,3.59,4.09,4.76,5.27
6686,AK,"Kenai Peninsula, Homer AP AK_IA",IA,1.33,1.63,2.06,2.41,2.92,3.33,3.78,4.32,5.02,5.55
6687,AK,"Kenai Peninsula, Hope AK_IA",IA,1.52,1.87,2.39,2.82,3.46,4.01,4.6,5.34,6.32,7.06
6688,AK,"Kenai Peninsula, Kasilof 3 NW AK_IA",IA,1.09,1.34,1.69,1.97,2.35,2.65,2.97,3.32,3.78,4.13
6689,AK,"Kenai Peninsula, Kenai 9N AK_IA",IA,1.27,1.54,1.95,2.31,2.85,3.34,3.89,4.62,5.59,6.33
6690,AK,"Kenai Peninsula, Kenai Moose Pens AK_IA",IA,1.08,1.32,1.66,1.92,2.3,2.6,2.91,3.26,3.72,4.07
6691,AK,"Kenai Peninsula, Kenai Muni AP AK_IA",IA,1.01,1.35,1.84,2.25,2.86,3.37,3.93,4.62,5.52,6.21
6692,AK,"Kenai Peninsula, Mcneil Canyon AK_IA",IA,1.42,1.74,2.21,2.62,3.22,3.74,4.31,5.04,6.01,6.74
6693,AK,"Kenai Peninsula, Middle Fork Bradley AK_IA",IA,2.52,3.1,4,4.79,6.02,7.11,8.34,10.02,12.24,13.93
6694,AK,"Kenai Peninsula, Moose Pass 3 NW AK_IA",IA,1.75,2.25,2.97,3.57,4.43,5.15,5.91,6.82,8.03,8.94
6695,AK,"Kenai Peninsula, Ninilchik AK_IA",IA,1.4,1.7,2.15,2.52,3.05,3.49,3.97,4.54,5.3,5.87
6696,AK,"Kenai Peninsula, Nuka Glacier AK_IA",IA,3.25,4,5.16,6.19,7.78,9.18,10.77,12.94,15.8,17.97
6697,AK,"Kenai Peninsula, Seldovia Dock AK_IA",IA,2.13,2.59,3.24,3.78,4.56,5.2,5.89,6.71,7.8,8.62
6698,AK,"Kenai Peninsula, Seward 19 N AK_IA",IA,2.84,3.58,4.68,5.61,7,8.18,9.47,11.11,13.27,14.91
6699,AK,"Kenai Peninsula, Seward 8 NW AK_IA",IA,3.56,4.45,5.78,6.91,8.58,10,11.56,13.52,16.11,18.07
6700,AK,"Kenai Peninsula, Seward AK_IA",IA,3.15,3.87,5.05,6.13,7.89,9.52,11.44,14.3,18.09,20.95
6701,AK,"Kenai Peninsula, Summit Creek AK_IA",IA,1.58,2.03,2.67,3.18,3.9,4.48,5.09,5.77,6.67,7.36
6702,AK,"Kenai Peninsula, Turnagain Pass Pillow AK_IA",IA,2.75,3.35,4.2,4.91,5.91,6.75,7.63,8.68,10.06,11.11
6703,AK,"Kenai Peninsula, Tutka Bay Lagoon AK_IA",IA,3.33,4.08,5.18,6.1,7.46,8.61,9.85,11.4,13.44,14.99
6704,AK,"Ketchikan Gateway, Beaver Falls AK_IA",IA,5.02,5.81,6.89,7.73,8.88,9.79,10.71,11.7,13,13.99
6705,AK,"Ketchikan Gateway, Ketchikan Intl AP AK_IA",IA,5.16,5.99,7.14,8.04,9.27,10.24,11.24,12.32,13.74,14.82
6706,AK,"Ketchikan Gateway, Swan Lake AK_IA",IA,4.01,4.63,5.49,6.17,7.11,7.85,8.61,9.45,10.55,11.39
6707,AK,"Kodiak Island, Chiniak AK_IA",IA,3.36,3.99,4.83,5.47,6.33,7,7.66,8.34,9.25,9.93
6708,AK,"Kodiak Island, Kitoi Bay AK_IA",IA,2.07,2.44,2.97,3.41,4.04,4.56,5.12,5.79,6.68,7.35
6709,AK,"Kodiak Island, Kodiak AP AK_IA",IA,2.71,3.18,3.88,4.48,5.37,6.13,6.96,8.02,9.41,10.47
6710,AK,"Kodiak Island, Kodiak Wwtp AK_IA",IA,2.43,2.87,3.49,4.01,4.75,5.37,6.03,6.82,7.86,8.65
6711,AK,"Kodiak Island, Ouzinkie AK_IA",IA,2.76,3.25,3.97,4.57,5.46,6.21,7.03,8.05,9.4,10.41
6712,AK,"Lake and Peninsula, Iliamna AP AK_I",I,1.56,1.9,2.36,2.71,3.18,3.54,3.91,4.29,4.79,5.17
6713,AK,"Lake and Peninsula, Intricate Bay AK_IA",IA,1.76,2.14,2.64,3.03,3.56,3.97,4.39,4.83,5.41,5.85
6714,AK,"Lake and Peninsula, Port Alsworth AK_I",I,1.14,1.4,1.76,2.04,2.43,2.74,3.06,3.41,3.86,4.21
6715,AK,"Lake and Peninsula, Port Heiden AK_IA",IA,1.17,1.43,1.8,2.11,2.53,2.88,3.24,3.66,4.21,4.63
6716,AK,"Matanuska-Susitna, Bens Farm AK_IA",IA,1.03,1.27,1.61,1.88,2.25,2.55,2.86,3.2,3.66,4
6717,AK,"Matanuska-Susitna, Chulitna River AK_I",I,1.93,2.38,3.04,3.59,4.41,5.1,5.85,6.79,8.03,8.97
6718,AK,"Matanuska-Susitna, Eklutna Project AK_IA",IA,1.17,1.44,1.78,2.05,2.4,2.66,2.93,3.19,3.54,3.81
6719,AK,"Matanuska-Susitna, Hayes River AK_I",I,1.78,2.23,2.93,3.54,4.51,5.36,6.34,7.67,9.44,10.78
6720,AK,"Matanuska-Susitna, Lake Susitna AK_I",I,0.94,1.17,1.48,1.72,2.07,2.34,2.62,2.94,3.36,3.67
6721,AK,"Matanuska-Susitna, Lazy Mtn AK_IA",IA,1.14,1.4,1.75,2.03,2.42,2.73,3.04,3.4,3.87,4.22
6722,AK,"Matanuska-Susitna, Matanuska Ag Exp Stn AK_IA",IA,1.02,1.26,1.58,1.83,2.17,2.43,2.7,2.98,3.35,3.64
6723,AK,"Matanuska-Susitna, Monahan Flat AK_I",I,0.96,1.19,1.51,1.77,2.12,2.41,2.71,3.03,3.47,3.8
6724,AK,"Matanuska-Susitna, Palmer Job Corps AK_IA",IA,1.05,1.29,1.63,1.89,2.25,2.52,2.8,3.1,3.5,3.8
6725,AK,"Matanuska-Susitna, Plant Materials Ctr AK_IA",IA,1.09,1.34,1.68,1.95,2.31,2.59,2.88,3.19,3.59,3.9
6726,AK,"Matanuska-Susitna, Point Mackenzie AK_IA",IA,1.08,1.31,1.68,2.01,2.53,3.01,3.57,4.38,5.44,6.24
6727,AK,"Matanuska-Susitna, Puntilla AK_I",I,0.94,1.29,1.87,2.38,3.21,4.01,4.98,6.47,8.44,9.93
6728,AK,"Matanuska-Susitna, Sheep Mtn Lodge AK_IA",IA,1.1,1.41,1.81,2.11,2.5,2.78,3.06,3.32,3.67,3.94
6729,AK,"Matanuska-Susitna, Skwentna AK_I",I,1.53,1.88,2.44,2.94,3.72,4.43,5.25,6.41,7.95,9.11
6730,AK,"Matanuska-Susitna, Summit Wso AP AK_I",I,1.22,1.55,2,2.33,2.79,3.14,3.49,3.85,4.33,4.69
6731,AK,"Matanuska-Susitna, Susitna Valley High AK_I",I,1.55,1.93,2.48,2.95,3.65,4.25,4.89,5.71,6.79,7.6
6732,AK,"Matanuska-Susitna, Sutton 1 W AK_IA",IA,1.16,1.44,1.82,2.13,2.55,2.89,3.24,3.63,4.14,4.52
6733,AK,"Matanuska-Susitna, Talkeetna AP AK_I",I,1.57,1.95,2.51,2.98,3.7,4.32,4.99,5.86,7,7.87
6734,AK,"Matanuska-Susitna, Wasilla 3 S AK_IA",IA,1.08,1.33,1.67,1.93,2.28,2.55,2.83,3.12,3.5,3.79
6735,AK,"Matanuska-Susitna, Whites Crossing AK_IA",IA,1.53,1.89,2.38,2.76,3.29,3.7,4.12,4.58,5.19,5.65
6736,AK,"Matanuska-Susitna, Willow West AK_IA",IA,1.54,1.91,2.43,2.84,3.43,3.9,4.4,4.97,5.72,6.29
6737,AK,"Nome, Gambell AK_I",I,1.11,1.42,1.84,2.16,2.58,2.9,3.21,3.53,3.96,4.28
6738,AK,"Nome, Nome Muni AP AK_I",I,1,1.26,1.62,1.9,2.28,2.58,2.89,3.23,3.67,4
6739,AK,"Nome, Shishmaref AK_I",I,0.77,0.97,1.23,1.43,1.68,1.87,2.06,2.24,2.49,2.67
6740,AK,"Nome, Teller AK_I",I,0.89,1.11,1.41,1.65,1.97,2.22,2.48,2.76,3.12,3.4
6741,AK,"Nome, Unalakleet Fld AK_I",I,0.95,1.16,1.47,1.73,2.12,2.45,2.81,3.26,3.86,4.31
6742,AK,"Nome, Wales AK_I",I,0.88,1.1,1.42,1.68,2.04,2.33,2.65,3,3.48,3.83
6743,AK,"North Slope, Atigun Pass AK_I",I,1.03,1.27,1.66,2.02,2.6,3.13,3.77,4.71,5.96,6.9
6744,AK,"North Slope, Barrow Post Rogers AP AK_I",I,0.44,0.55,0.72,0.87,1.1,1.31,1.54,1.85,2.26,2.57
6745,AK,"North Slope, Colville Village AK_I",I,0.45,0.57,0.75,0.89,1.08,1.24,1.4,1.58,1.82,2
6746,AK,"North Slope, Imnaviat Creek AK_I",I,0.93,1.25,1.76,2.24,3.02,3.73,4.57,5.83,7.49,8.74
6747,AK,"North Slope, Kuparuk AK_I",I,0.49,0.63,0.82,0.97,1.19,1.36,1.53,1.73,1.99,2.19
6748,AK,"North Slope, Sagwon AK_I",I,0.58,0.79,1.14,1.44,1.85,2.17,2.52,2.9,3.41,3.79
6749,AK,"North Slope, Toolik Field Station Met AK_I",I,0.88,1.19,1.66,2.08,2.72,3.29,3.95,4.84,6.02,6.92
6750,AK,"North Slope, Umiat AP AK_I",I,0.7,0.96,1.4,1.77,2.39,2.91,3.49,4.21,5.17,5.9
6751,AK,"Northwest Arctic, Ambler AK_I",I,1.12,1.41,1.82,2.14,2.59,2.95,3.32,3.72,4.26,4.67
6752,AK,"Northwest Arctic, Kobuk AK_I",I,1.21,1.5,1.93,2.28,2.77,3.18,3.61,4.12,4.78,5.28
6753,AK,"Northwest Arctic, Kotzebue Ralph Wein AP AK_I",I,0.71,0.88,1.11,1.29,1.55,1.75,1.95,2.18,2.47,2.7
6754,AK,"Petersburg, Kake AK_IA",IA,1.98,2.37,2.87,3.23,3.68,4.01,4.33,4.64,5.06,5.37
6755,AK,"Petersburg, Petersburg 1 AK_IA",IA,3.5,4.14,4.99,5.65,6.53,7.21,7.9,8.62,9.57,10.29
6756,AK,"Petersburg, Port Alexander AK_IA",IA,5.22,6.19,7.41,8.29,9.39,10.19,11,11.78,12.81,13.59
6757,AK,"Prince of Wales-Hyder, Annette Island AP AK_IA",IA,3.35,3.9,4.64,5.2,5.94,6.5,7.06,7.63,8.38,8.95
6758,AK,"Prince of Wales-Hyder, Craig AK_IA",IA,3.24,3.81,4.58,5.16,5.95,6.55,7.16,7.78,8.61,9.24
6759,AK,"Sitka, Hidden Falls Hatchery AK_IA",IA,3.7,4.4,5.23,5.8,6.49,7,7.57,8.08,8.76,9.27
6760,AK,"Sitka, Little Port Walter AK_IA",IA,8.02,9.52,11.45,12.87,14.71,16.06,17.37,18.7,20.44,21.77
6761,AK,"Sitka, Sitka Japonski AP AK_IA",IA,3.27,3.9,4.69,5.25,5.95,6.45,6.97,7.45,8.1,8.58
6762,AK,"Sitka, Sitka Magnetic Obsy AK_IA",IA,3.42,4.08,4.9,5.47,6.16,6.66,7.19,7.68,8.32,8.81
6763,AK,"Skagway, Skagway AK_IA",IA,1.82,2.27,2.9,3.41,4.13,4.7,5.3,5.99,6.89,7.57
6764,AK,"Southeast Fairbanks, Big Delta AP AK_I",I,1.01,1.27,1.63,1.91,2.3,2.61,2.92,3.27,3.72,4.07
6765,AK,"Southeast Fairbanks, Chicken AK_I",I,1.02,1.28,1.67,2,2.49,2.9,3.36,3.94,4.7,5.28
6766,AK,"Southeast Fairbanks, Delta 5 NE AK_I",I,1.03,1.29,1.66,1.95,2.35,2.68,3.02,3.39,3.89,4.26
6767,AK,"Southeast Fairbanks, Delta 6N AK_I",I,1.03,1.29,1.66,1.95,2.36,2.68,3.02,3.39,3.89,4.27
6768,AK,"Southeast Fairbanks, Delta Junction 20 SE AK_I",I,0.97,1.21,1.55,1.82,2.19,2.49,2.8,3.15,3.6,3.94
6769,AK,"Southeast Fairbanks, Dry Creek AK_I",I,1.06,1.34,1.73,2.04,2.47,2.82,3.18,3.58,4.1,4.5
6770,AK,"Southeast Fairbanks, Eagle AK_I",I,0.87,1.06,1.33,1.54,1.83,2.05,2.29,2.54,2.87,3.12
6771,AK,"Southeast Fairbanks, Granite Crk Pillow AK_I",I,1.02,1.28,1.64,1.93,2.33,2.66,2.99,3.37,3.86,4.24
6772,AK,"Southeast Fairbanks, Gulkana AK_I",I,1.92,2.31,2.87,3.34,4.01,4.56,5.15,5.86,6.79,7.5
6773,AK,"Southeast Fairbanks, Northway AP AK_I",I,0.98,1.24,1.64,1.98,2.48,2.91,3.39,3.99,4.79,5.39
6774,AK,"Southeast Fairbanks, Rhoads Creek AK_I",I,1,1.26,1.61,1.89,2.27,2.58,2.89,3.23,3.68,4.02
6775,AK,"Southeast Fairbanks, Tanacross Caa AP AK_I",I,1.15,1.57,2.19,2.7,3.43,4.03,4.67,5.43,6.43,7.19
6776,AK,"Southeast Fairbanks, Tok AK_I",I,1.01,1.3,1.7,2,2.42,2.75,3.08,3.43,3.9,4.26
6777,AK,"Southeast Fairbanks, Whitestone Farms AK_I",I,0.99,1.24,1.59,1.86,2.24,2.54,2.85,3.18,3.62,3.96
6778,AK,"Valdez-Cordova, Cannery Creek AK_IA",IA,4.23,4.91,5.8,6.46,7.33,7.97,8.61,9.26,10.12,10.77
6779,AK,"Valdez-Cordova, Cape St Elias AK_IA",IA,2.83,3.45,4.34,5.06,6.08,6.91,7.8,8.82,10.17,11.19
6780,AK,"Valdez-Cordova, Chitina AK_IA",IA,1.23,1.56,2.07,2.52,3.25,3.89,4.64,5.69,7.07,8.12
6781,AK,"Valdez-Cordova, Copper Ctr AK_IA",IA,0.98,1.25,1.63,1.95,2.41,2.79,3.2,3.69,4.34,4.83
6782,AK,"Valdez-Cordova, Cordova M K Smith AP AK_IA",IA,4.08,4.9,6.03,6.92,8.17,9.16,10.19,11.33,12.83,13.97
6783,AK,"Valdez-Cordova, Cordova North AK_IA",IA,5.64,6.73,8.27,9.49,11.21,12.59,14.02,15.62,17.75,19.35
6784,AK,"Valdez-Cordova, Gulkana AP AK_IA",IA,0.83,1.04,1.33,1.55,1.85,2.08,2.31,2.55,2.88,3.12
6785,AK,"Valdez-Cordova, Main Bay AK_IA",IA,5.63,6.4,7.51,8.4,9.68,10.73,11.83,13.12,14.81,16.1
6786,AK,"Valdez-Cordova, Mankomen Lake AK_I",I,1.23,1.48,1.85,2.17,2.63,3.02,3.44,3.98,4.68,5.21
6787,AK,"Valdez-Cordova, May Creek AK_IA",IA,1.11,1.36,1.69,1.95,2.31,2.6,2.9,3.23,3.66,3.98
6788,AK,"Valdez-Cordova, Mccarthy 3 SW AK_IA",IA,1.33,1.63,2.01,2.28,2.61,2.85,3.08,3.31,3.6,3.83
6789,AK,"Valdez-Cordova, Mineral Lakes AK_I",I,1.12,1.42,1.82,2.13,2.56,2.88,3.22,3.57,4.04,4.39
6790,AK,"Valdez-Cordova, Nabesna AK_I",I,0.95,1.22,1.58,1.85,2.21,2.47,2.74,3.01,3.37,3.63
6791,AK,"Valdez-Cordova, Paxson AK_I",I,1.15,1.38,1.72,2.01,2.44,2.8,3.2,3.7,4.35,4.85
6792,AK,"Valdez-Cordova, Paxson River AK_I",I,0.99,1.19,1.48,1.72,2.08,2.39,2.73,3.14,3.69,4.11
6793,AK,"Valdez-Cordova, Port San Juan AK_IA",IA,4.11,4.68,5.46,6.08,6.93,7.61,8.3,9.06,10.06,10.82
6794,AK,"Valdez-Cordova, Slana AK_I",I,1.25,1.53,1.9,2.18,2.54,2.81,3.08,3.35,3.7,3.96
6795,AK,"Valdez-Cordova, Snowshoe Lake AK_IA",IA,0.86,1.1,1.41,1.64,1.94,2.16,2.39,2.61,2.9,3.12
6796,AK,"Valdez-Cordova, Soloman Gulch AK_IA",IA,2.69,3.09,3.67,4.16,4.87,5.46,6.11,6.9,7.95,8.74
6797,AK,"Valdez-Cordova, Sourdough 1 N AK_I",I,0.88,1.08,1.36,1.59,1.92,2.18,2.46,2.79,3.21,3.53
6798,AK,"Valdez-Cordova, Tonsina AK_IA",IA,0.99,1.26,1.67,2.01,2.51,2.93,3.39,3.96,4.71,5.28
6799,AK,"Valdez-Cordova, Valdez Wso AK_IA",IA,2.68,3.11,3.73,4.22,4.91,5.47,6.05,6.72,7.59,8.26
6800,AK,"Valdez-Cordova, Whittier AK_IA",IA,5.96,6.92,8.16,9.07,10.24,11.09,11.98,12.85,13.99,14.85
6801,AK,"Wade Hampton, Cape Romanzof AK_I",I,1.4,1.73,2.18,2.53,3,3.38,3.76,4.18,4.72,5.14
6802,AK,"Wade Hampton, Russian Mission AK_I",I,0.98,1.22,1.56,1.85,2.26,2.61,2.98,3.42,4.01,4.46
6803,AK,"Wade Hampton, St Marys AK_I",I,0.9,1.12,1.43,1.68,2.04,2.33,2.63,2.98,3.44,3.78
